,Measured,ATS0p,ATS3p,AATS5p,AATS2i,AATS5i,AATS6i,ATSC0m,ATSC0p,AATSC3c,BCUTp-1h,SpMax1_Bhm,SpMax2_Bhm,SpMax3_Bhm,SpMax4_Bhm,SpMax6_Bhm,SpMax1_Bhe,SpMax1_Bhi,VCH-7,VP-1,VP-3,VP-4,VP-5,VP-6,CrippenLogP,SpDiam_Dt,minHBa,maxwHBa,meanI,hmin,LipoaffinityIndex,MAXDN,MAXDP,ETA_BetaP_ns_d,ETA_Eta,ETA_Eta_F,ETA_EtaP_F,BIC0,ZMIC1,MLFER_BO,piPC2,piPC6,XLogP
0,-3.3,40.85394995333902,69.22909525424498,1.170417531054396,149.9242817122349,166.1569612309184,152.71028511988268,893.1127983461537,6.056658518310963,-0.0036473815882462,8.889079789499194,3.8868267906813663,3.748546962658852,3.174570926122789,2.688901832694509,2.619181913839716,3.92150496773085,3.9308146392167584,0.0484974700759254,4.676642621310484,2.13510335116512,1.3404438146505857,0.6741185049815881,0.287092995963059,3.140810000000001,132.06100651244353,2.786203703703704,1.901544312169312,2.377777777777778,0.2062048847316704,4.914851581632652,1.812546296296296,4.724911186696902,0.03333,7.44686,13.03107,0.86874,0.2971350922895989,33.06807353907854,0.681,3.707455839686872,4.78957290898587,3.0850000000000004
1,-2.06,35.64601047758401,65.15810485994304,0.913278989840456,155.76136417692643,168.10011271812866,166.41242029601534,856.4920065185186,6.253874833386067,-0.0008813320525802368,8.432452197006574,3.6379122959876216,3.4555759259254533,2.9938264274061503,2.677831287650465,2.1193322430690857,3.731225789061873,3.7690109600414505,0.0,3.908187543975613,1.4438201709644842,0.7880020563840353,0.3403062309172338,0.2713690168799338,2.7303800000000016,56.85583911941048,10.020497606449988,2.182681405895692,2.303030303030303,0.0902777777777777,4.5843229336734685,1.1549102418745276,3.0204976064499878,0.0,8.87298,4.66116,0.42374,0.2375829370480314,25.25068984262015,0.439,2.9444389791664403,3.044522437723423,2.701
2,-0.77,76.06779243092284,180.05113442037617,1.022690264221333,154.38402520182336,167.47450500844334,163.88513560388583,2378.0511465762697,12.325317272975184,0.0075181139307351,9.339813306231097,3.823304728349908,3.7411415828638654,3.683026023793481,3.3496755003335457,3.102380611809697,3.877098407430908,3.89522450382434,0.1472117357515056,9.998815978920186,5.431494058773277,3.506930243218348,2.305254876380796,1.241967028653076,-3.449119999999999,441.2684864699216,5.215821599587764,1.9199382865762669,2.932291666666666,-0.2321750992063491,-4.704292308422007,3.034938271604939,4.253328884035504,0.0,35.16872,29.85097,0.93284,0.2641519403329685,74.73250283297249,3.838,4.085976312551584,5.102530558800511,-0.6400000000000006
3,-1.33,21.34405161939599,11.882503974547,0.0,139.5532312832508,0.0,0.0,822.4236182222223,4.6781380641088885,-0.0004103054151361736,7.8665488139729405,4.155062132325181,2.634150505310839,2.2241698066756794,0.6847053372467304,0.2482457897719457,3.754286807429467,3.759985448051559,0.0,2.414213562373095,1.0539201526931743,0.6804138174397717,0.0,0.0,1.7481,18.61803398874989,-0.3281893004115226,2.337962962962963,1.72962962962963,0.1394032921810699,2.414481481481481,0.9763374485596708,0.3379629629629629,0.0,1.39552,2.35448,0.4709,0.3950965645066718,19.288222235042777,0.195,2.505525936990736,0.0,2.119
4,-1.5,31.365364524244992,42.44095381454702,0.939465328283,143.00261223047525,167.30714253278632,184.91765202424895,933.6321119999998,5.514561358443214,0.000614457662144244,10.29962899421496,4.278924748362246,3.401118652075706,2.8189869787187813,2.2591338732164177,0.92201469758975,3.998173874112811,4.010948999706164,0.1255002322511968,3.628635173569109,2.046691930664819,1.4818483956569164,0.8013075493175691,0.3855775961893137,2.70149,65.35541436518868,-0.6921913580246912,2.2080761316872426,1.8868312757201648,0.2060185185185185,3.5373534567901235,1.3403395061728394,1.268909465020576,0.0,3.31222,5.97591,0.66399,0.3642858910593445,26.19594964293913,0.543,3.4094961844768505,5.146676555197445,2.14
5,-7.32,59.451864524245,110.75932134969796,2.6447804044117644,139.44803376275,149.5478951707371,154.4727123294186,3176.5203590909086,6.056197396007501,-0.0026969912474737,12.578076070751104,4.243234568063557,3.985610765853152,3.5797688753512245,3.579768875351222,3.0265174453948225,4.0377668356007295,4.038527854592414,0.147867608523012,6.483451021804749,3.663982822295128,3.1100696743826703,1.7902939216325724,0.9416669532779598,6.06079,164.34017779923624,0.9812921670725904,2.479965706447188,1.6702977487291215,0.1250154320987654,7.387924028685663,0.3643868452730887,0.4799657064471877,0.14706,11.80211,15.40521,0.90619,0.296678592184153,76.64336371180666,-0.072,3.951243718581428,6.030985695895189,5.24
6,-7.87,67.58038066788595,163.44999992364117,1.5334767391542523,137.9638919300182,149.56372343384865,153.7244956753511,1035.7869658888887,8.610518881485891,7.529925082069394e-05,11.31035900801386,4.188030748243203,3.934281809502053,3.5540571072046694,3.1646330833502105,2.876425089368768,4.211465143911084,4.221405258549523,0.1977445042643612,7.636751345948129,4.648218885556901,3.586716062914186,2.694343233626977,1.6381853238394384,6.299400000000003,423.9316966296336,0.0,2.270277777777778,1.878787878787879,0.25,12.729603924162255,0.3656118774670361,0.2702777777777777,0.0,12.85323,22.17297,1.00786,0.168312177596703,75.07492637415744,0.376,4.460144413937834,7.316257437247798,11.566000000000004
7,-5.03,62.15731771637604,198.62243353037644,1.0024614007717216,147.43340269834545,164.29919555553272,166.2800162737619,1446.8206581818183,10.517637268898188,0.0002985844956294616,11.421637440625204,3.95085154258001,3.748424969881421,3.3034157149615737,3.1067007599456447,2.763396887506823,4.014144944325538,4.04000385422126,0.6409376320913814,8.092631572702832,6.660103851837376,5.541204479556271,4.32474224990108,3.052327412746748,3.6092000000000057,304.93007852411495,9.677186712648025,2.148346560846561,2.029166666666667,0.0617644557823128,7.627875050482385,1.4216067229360885,4.372486615016377,0.025,23.61523,9.11127,0.45556,0.2138980842445947,37.90570348419128,0.849,3.8607297110405954,5.494089721066114,4.646
8,-6.29,66.18130723879197,202.7060090404904,1.958443886598075,143.4362413707414,159.35966476499132,172.26044737274697,4162.110556666668,9.104990785224,-0.0004565311789838292,15.509701807808035,4.416456905849207,3.885535253663464,3.813759569746793,3.618019692720545,3.2467032874031827,4.135660707163586,4.142323497991665,3.187104446974246,8.516931627991429,10.079710540163225,8.343700423204476,6.724814307837372,5.055746046729314,4.407589999999999,222.1727003755877,1.2068023361608016,2.1455589849108367,1.4819688109161795,-0.1997422384591698,5.65506755658436,0.5730202996836596,2.6005474370818287,0.0,28.8337,4.75948,0.2505,0.3396491670032062,64.69975560299162,0.679,3.8918202981106265,5.6240175061873385,3.0050000000000003
9,1.07,16.121094333943002,22.79844530648998,0.0,160.26978912875617,0.0,0.0,479.1767330769231,2.617201895358308,-0.0011182929943674,6.268282242645983,3.642964066704531,2.721383328847856,2.391916083927505,1.488511128303906,0.0839230705186913,3.733171171902325,3.782038775320931,0.0,2.161230926418479,0.9027842468579428,0.5651415581982783,0.0721687836487032,0.0,0.13029,25.291618651911577,2.680555555555556,0.2037037037037041,2.611111111111111,0.3614583333333333,1.2488009259259256,1.4629629629629626,3.1319444444444446,0.0,3.13099,2.09961,0.34993,0.4132534225539066,14.47498219636626,0.7040000000000002,2.302585092994046,0.0,-0.312
10,-4.14,35.753690333943005,65.477466679396,1.298197371542864,140.36251538062,161.2552790480379,169.7736810124876,1237.3470771111113,4.948848217409611,-0.00019569848797600036,9.354762219391624,4.061162597260936,3.626529939754807,3.016631820131084,2.8065019273337746,2.0375758423046237,4.026236244018904,4.041267927441956,0.087130029012256,3.882330850416052,1.9466091514643808,1.3407211814096494,0.9524659071963928,0.4482188394685042,2.884990000000001,93.59608076567488,0.9703536435150192,2.276406035665295,1.8496071829405163,0.1813271604938271,6.038852211864169,0.3753253688306598,0.2764060356652948,0.04545,4.87465,8.1001,0.73637,0.2671154413722759,35.51933401648576,0.184,3.56953269648137,5.527815683500254,4.979
